Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Customer Relationship Management (CRM),In Progress,High,7,Low,High
Management Plans,To Do,Medium,8,Low,Low
Project Management Information System (PMIS),To Do,Low,28,High,Low
Human Resource Management (HRM),Completed,High,12,Medium,Low
Data Services & Management,Completed,Medium,5,Low,Low
Notification System,To Do,High,22,High,High
Portal Learning Management System (LMS),Completed,Medium,12,Medium,Low
Transfer of Technology (TOT),In Progress,Medium,22,High,Low
Portal Learning Management System (LMS),To Do,Medium,27,High,Low
Contract Documentation,To Do,High,12,Medium,Low
Transfer of Technology (TOT),Completed,High,10,Medium,Low
Reporting and Analytics,Completed,Medium,30,High,Low
Certificate of Acceptance (CoA),In Progress,Low,21,High,Medium
User Interface and User Experience (UI/UX),Completed,Medium,23,High,Low
Training Management,To Do,High,17,Medium,Low
Payment Gateway Integration,In Progress,Low,5,Low,High
Project Management,Completed,Medium,5,Low,Low
Portal,In Progress,Medium,25,High,Medium
User Authentication and Access Control,To Do,Low,8,Low,Low
Payment Gateway Integration,In Progress,High,26,High,Low
Transfer of Knowledge (TOK),In Progress,High,23,High,High
Finalization and Integration,Completed,High,24,High,Low
Certificate of Acceptance (CoA),Completed,Medium,1,Low,Low
Transfer of Knowledge (TOK),Completed,High,18,Medium,Low
Project Management,Completed,Medium,23,High,Low
Project Management,In Progress,High,4,Low,High
DevOps,In Progress,Medium,12,Medium,Medium
Communication and Collaboration Tools,Completed,Low,6,Low,Low
Management Plans,To Do,Low,30,High,High
Customer Relationship Management (CRM),Completed,Medium,17,Medium,Low
Inventory Management,To Do,Low,14,Medium,High
Office Renovation,Completed,Low,25,High,Low
Project Management Information System (PMIS),To Do,High,12,Medium,Low
Monitoring & Control Reports,Completed,High,23,High,Low
Office Renovation,In Progress,Medium,27,High,Low
User Authentication and Access Control,In Progress,Medium,9,Low,Low
DevOps,In Progress,Low,17,Medium,High
Workflow Management,To Do,High,27,High,Medium
Transfer of Knowledge (TOK),To Do,Medium,4,Low,High
Portal,To Do,Low,11,Medium,Medium
Contract Documentation,Completed,High,15,Medium,Low
Enterprise Architecture (EA),To Do,High,27,High,Medium
Transfer of Technology (TOT),In Progress,High,30,High,Low
Data Services & Management,To Do,Medium,29,High,High
Training Management,Completed,Medium,21,High,Low
Notification System,In Progress,Medium,2,Low,High
Human Resource Management (HRM),Completed,Medium,21,High,Low
Change Management,To Do,Medium,1,Low,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,3,Low,High
Data Services & Management,In Progress,Medium,24,High,Low
Finalization and Integration,To Do,High,25,High,Low
Payment Gateway Integration,To Do,Medium,16,Medium,Medium
Training Management,Completed,Medium,15,Medium,Low
Data Management and Storage,Completed,High,13,Medium,Low
Workflow Management,Completed,Medium,3,Low,Low
User Authentication and Access Control,In Progress,High,13,Medium,High
User Authentication and Access Control,Completed,High,21,High,Low
Transfer of Knowledge (TOK),Completed,Medium,8,Low,Low
Portal,To Do,Medium,12,Medium,Medium
Certificate of Acceptance (CoA),In Progress,Medium,27,High,Medium
Inventory Management,Completed,Low,10,Medium,Low
Reporting and Analytics,In Progress,Low,12,Medium,High
Data Management and Storage,To Do,High,15,Medium,High
Transfer of Technology (TOT),In Progress,High,13,Medium,Low
Customer Relationship Management (CRM),To Do,Medium,27,High,Low
Training Management,Completed,Medium,20,High,Low
Communication and Collaboration Tools,To Do,High,26,High,Low
DevOps,Completed,Medium,29,High,Low
Certificate of Acceptance (CoA),To Do,Low,19,Medium,High
Data Services & Management,In Progress,Low,5,Low,Low
Customer Relationship Management (CRM),Completed,Low,1,Low,Low
User Interface and User Experience (UI/UX),Completed,Low,2,Low,Low
Data Lake & Data Warehouse Operation,Completed,High,23,High,Low
Data Management and Storage,Completed,Low,14,Medium,Low
Notification System,To Do,Medium,27,High,High
Data Services & Management,To Do,Low,28,High,High
Reporting and Analytics,In Progress,Low,17,Medium,High
Finalization and Integration,Completed,Medium,18,Medium,Low
Contract Documentation,Completed,Medium,27,High,Low
Project Management,Completed,Medium,23,High,Low
Project Management,To Do,Low,13,Medium,High
Communication and Collaboration Tools,To Do,Low,27,High,Medium
Payment Gateway Integration,Completed,Low,5,Low,Low
DevOps,Completed,Low,15,Medium,Low
Notification System,To Do,Low,24,High,Low
Workflow Management,To Do,High,8,Low,High
Office Renovation,In Progress,Medium,24,High,Low
Training Management,In Progress,Low,15,Medium,Low
User Interface and User Experience (UI/UX),In Progress,High,27,High,Medium
Certificate of Acceptance (CoA),To Do,Medium,10,Medium,Medium
Data Services & Management,In Progress,Low,15,Medium,Low
Data Management and Storage,To Do,Low,16,Medium,Low
Data Services & Management,In Progress,High,2,Low,High
Business Continuity Plan (BCP),In Progress,Low,29,High,Low
Transfer of Technology (TOT),Completed,High,3,Low,Low
Project Management Information System (PMIS),In Progress,High,6,Low,High
Notification System,Completed,Low,2,Low,Low
Customer Relationship Management (CRM),Completed,Low,4,Low,Low
Human Resource Management (HRM),In Progress,Medium,13,Medium,Medium
Change Management,Completed,Medium,24,High,Low
Data Management and Storage,Completed,Low,5,Low,Low
Business Continuity Plan (BCP),To Do,Medium,5,Low,Low
Data Management and Storage,In Progress,High,2,Low,High
Change Management,To Do,Medium,15,Medium,Medium
Project Management,Completed,Medium,26,High,Low
Notification System,In Progress,Medium,27,High,Medium
Data Lake & Data Warehouse Operation,In Progress,High,27,High,Medium
Human Resource Management (HRM),In Progress,Low,8,Low,Low
Portal Learning Management System (LMS),In Progress,Low,18,Medium,Low
Human Resource Management (HRM),In Progress,High,6,Low,High
Customer Relationship Management (CRM),Completed,High,11,Medium,Low
Inventory Management,To Do,Medium,7,Low,Low
Transfer of Knowledge (TOK),In Progress,Medium,7,Low,Low
Monitoring & Control Reports,Completed,High,26,High,Low
Payment Gateway Integration,To Do,Low,13,Medium,High
Human Resource Management (HRM),In Progress,Low,23,High,High
Notification System,In Progress,Low,14,Medium,High
Data Services & Management,To Do,Low,3,Low,High
Data Management and Storage,In Progress,Medium,15,Medium,Medium
Monitoring & Control Reports,To Do,Low,30,High,Low
Portal,To Do,High,11,Medium,High
Management Plans,To Do,Low,4,Low,High
Transfer of Knowledge (TOK),In Progress,Medium,30,High,Low
Finalization and Integration,Completed,Medium,17,Medium,Low
Enterprise Architecture (EA),In Progress,Low,21,High,Medium
Notification System,To Do,Low,28,High,Low
Customer Relationship Management (CRM),To Do,Low,15,Medium,High
Business Continuity Plan (BCP),In Progress,High,14,Medium,Low
Business Continuity Plan (BCP),In Progress,High,16,Medium,Low
Business Continuity Plan (BCP),In Progress,Medium,18,Medium,Medium
Data Management and Storage,To Do,Low,1,Low,Low
Transfer of Technology (TOT),Completed,Medium,11,Medium,Low
Transfer of Technology (TOT),Completed,Low,23,High,Low
Communication and Collaboration Tools,In Progress,High,14,Medium,Medium
Project Closure Report,Completed,Low,30,High,Low
Portal,To Do,High,24,High,Low
Office Renovation,In Progress,Medium,14,Medium,Medium
Enterprise Architecture (EA),Completed,High,12,Medium,Low
Payment Gateway Integration,Completed,High,22,High,Low
Monitoring & Control Reports,Completed,Medium,16,Medium,Low
Human Resource Management (HRM),Completed,Medium,14,Medium,Low
Customer Relationship Management (CRM),Completed,Medium,21,High,Low
Business Continuity Plan (BCP),To Do,Medium,21,High,Low
Management Plans,In Progress,Medium,6,Low,Low
Customer Relationship Management (CRM),Completed,Low,15,Medium,Low
Contract Documentation,To Do,Medium,14,Medium,Medium
Portal Learning Management System (LMS),Completed,Low,1,Low,Low
Business Continuity Plan (BCP),In Progress,Medium,20,High,Low
Finalization and Integration,In Progress,Medium,9,Low,Low
Change Management,Completed,Medium,17,Medium,Low
Portal,Completed,Low,11,Medium,Low
Notification System,Completed,Low,24,High,Low
Certificate of Acceptance (CoA),To Do,High,7,Low,High
User Authentication and Access Control,Completed,Low,18,Medium,Low
Office Renovation,To Do,Low,20,High,Low
Audit and Compliance,To Do,Low,7,Low,Low
Contract Documentation,To Do,Low,20,High,Low
Inventory Management,In Progress,Medium,10,Medium,Medium
Training Management,To Do,Low,28,High,Low
User Authentication and Access Control,Completed,High,12,Medium,Low
Portal,Completed,Low,17,Medium,Low
DevOps,In Progress,Medium,16,Medium,Medium
DevOps,To Do,Medium,5,Low,Low
Communication and Collaboration Tools,In Progress,Low,16,Medium,High
Project Management Information System (PMIS),Completed,Low,25,High,Low
Office Renovation,Completed,High,26,High,Low
Human Resource Management (HRM),Completed,High,17,Medium,Low
Human Resource Management (HRM),In Progress,Low,25,High,Medium
Office Renovation,To Do,High,14,Medium,Low
Inventory Management,Completed,Low,14,Medium,Low
Transfer of Technology (TOT),To Do,Low,14,Medium,Low
Contract Documentation,Completed,Low,22,High,Low
Customer Relationship Management (CRM),To Do,Low,17,Medium,Low
Transfer of Knowledge (TOK),In Progress,Medium,10,Medium,Medium
Certificate of Acceptance (CoA),Completed,Low,18,Medium,Low
Reporting and Analytics,In Progress,High,7,Low,High
Data Lake & Data Warehouse Operation,Completed,High,3,Low,Low
Project Closure Report,In Progress,Low,28,High,Low
Project Management Information System (PMIS),In Progress,High,23,High,Low
Transfer of Technology (TOT),Completed,Low,15,Medium,Low
Notification System,Completed,High,26,High,Low
Management Plans,To Do,Low,7,Low,High
Communication and Collaboration Tools,Completed,Medium,3,Low,Low
User Authentication and Access Control,Completed,High,16,Medium,Low
Project Management Information System (PMIS),In Progress,Low,25,High,Low
Monitoring & Control Reports,Completed,Low,24,High,Low
Finalization and Integration,In Progress,High,22,High,Low
Data Management and Storage,In Progress,High,7,Low,High
DevOps,To Do,Medium,18,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,15,Medium,Low
Audit and Compliance,To Do,Medium,18,Medium,Medium
Monitoring & Control Reports,In Progress,Low,5,Low,High
DevOps,In Progress,High,2,Low,High
Finalization and Integration,In Progress,Medium,16,Medium,Medium
Project Closure Report,To Do,High,20,High,Low
Data Lake & Data Warehouse Operation,To Do,High,30,High,High
Inventory Management,In Progress,High,11,Medium,Medium
Training Management,Completed,Low,5,Low,Low
Project Closure Report,In Progress,High,19,Medium,Low
Customer Relationship Management (CRM),Completed,Low,4,Low,Low
Monitoring & Control Reports,In Progress,High,13,Medium,Low
Data Management and Storage,To Do,Medium,13,Medium,Medium
Portal Learning Management System (LMS),In Progress,High,3,Low,High
Certificate of Acceptance (CoA),Completed,Medium,30,High,Low
Management Plans,In Progress,High,30,High,High
Monitoring & Control Reports,In Progress,Low,8,Low,Medium
DevOps,In Progress,Medium,10,Medium,Medium
DevOps,To Do,Low,18,Medium,Low
Contract Documentation,In Progress,Low,27,High,Low
Payment Gateway Integration,To Do,Medium,27,High,High
Management Plans,Completed,Low,21,High,Low
Project Management Information System (PMIS),In Progress,Medium,26,High,Low
Monitoring & Control Reports,Completed,Low,20,High,Low
Management Plans,In Progress,Medium,4,Low,Low
User Interface and User Experience (UI/UX),In Progress,Low,21,High,High
DevOps,To Do,Medium,14,Medium,Medium
Certificate of Acceptance (CoA),Completed,Low,21,High,Low
Customer Relationship Management (CRM),In Progress,High,13,Medium,High
Portal,In Progress,Low,22,High,High
Data Management and Storage,To Do,Medium,3,Low,Medium
Project Closure Report,Completed,Low,6,Low,Low
Management Plans,To Do,Medium,12,Medium,Medium
Project Management,In Progress,Low,23,High,Medium
Data Management and Storage,Completed,Low,2,Low,Low
Training Management,To Do,Medium,13,Medium,Medium
Workflow Management,Completed,Medium,7,Low,Low
Transfer of Technology (TOT),To Do,Low,23,High,Low
Management Plans,In Progress,High,12,Medium,Medium
Finalization and Integration,To Do,Medium,4,Low,Low
Enterprise Architecture (EA),To Do,Low,20,High,Low
Change Management,In Progress,High,4,Low,High
Customer Relationship Management (CRM),To Do,Low,10,Medium,Medium
Project Management,Completed,Low,30,High,Low
Communication and Collaboration Tools,Completed,Medium,24,High,Low
Data Services & Management,Completed,Low,5,Low,Low
Data Management and Storage,In Progress,High,24,High,High
Office Renovation,In Progress,Low,24,High,Low
Portal,In Progress,High,9,Low,High
Workflow Management,In Progress,Low,20,High,High
Transfer of Knowledge (TOK),Completed,Low,28,High,Low
Human Resource Management (HRM),Completed,High,11,Medium,Low
Office Renovation,To Do,High,13,Medium,Low
Finalization and Integration,To Do,High,2,Low,High
DevOps,In Progress,High,19,Medium,Medium
Office Renovation,In Progress,High,10,Medium,Low
Certificate of Acceptance (CoA),In Progress,Low,21,High,High
Inventory Management,In Progress,Low,7,Low,High
Business Continuity Plan (BCP),Completed,High,6,Low,Low
Project Closure Report,In Progress,Low,6,Low,Low
Project Management,In Progress,High,28,High,High
Portal,Completed,Low,7,Low,Low
Project Management Information System (PMIS),Completed,High,25,High,Low
Project Management,To Do,Low,10,Medium,High
Enterprise Architecture (EA),To Do,Medium,16,Medium,Medium
Project Management Information System (PMIS),In Progress,Low,1,Low,Low
Business Continuity Plan (BCP),Completed,Low,27,High,Low
Management Plans,Completed,Low,15,Medium,Low
Data Services & Management,To Do,Low,29,High,Medium
Data Services & Management,Completed,Low,14,Medium,Low
Human Resource Management (HRM),To Do,High,6,Low,High
Payment Gateway Integration,In Progress,Medium,8,Low,High
Payment Gateway Integration,In Progress,Medium,27,High,High
Change Management,Completed,Medium,30,High,Low
Finalization and Integration,In Progress,Medium,24,High,Medium
Data Services & Management,In Progress,High,28,High,Low
Finalization and Integration,Completed,High,15,Medium,Low
Data Management and Storage,Completed,High,21,High,Low
Portal,Completed,Low,2,Low,Low
Management Plans,To Do,Medium,8,Low,High
Reporting and Analytics,In Progress,High,28,High,High
Finalization and Integration,Completed,Low,23,High,Low
Project Management,To Do,Medium,19,Medium,Medium
Change Management,Completed,High,8,Low,Low
DevOps,Completed,Low,1,Low,Low
Data Lake & Data Warehouse Operation,In Progress,High,4,Low,High
Workflow Management,To Do,High,6,Low,High
Inventory Management,In Progress,Medium,6,Low,High
Transfer of Technology (TOT),To Do,Low,10,Medium,Low
Workflow Management,In Progress,High,1,Low,High
Inventory Management,Completed,Medium,12,Medium,Low
Certificate of Acceptance (CoA),To Do,Low,12,Medium,High
Office Renovation,In Progress,High,30,High,Low
Payment Gateway Integration,To Do,High,25,High,Medium
Management Plans,In Progress,High,27,High,High
Workflow Management,Completed,High,29,High,Low
Notification System,Completed,High,22,High,Low
Change Management,To Do,Medium,3,Low,Low
Payment Gateway Integration,In Progress,High,23,High,Low
User Interface and User Experience (UI/UX),Completed,Medium,28,High,Low
Human Resource Management (HRM),Completed,Medium,24,High,Low
Business Continuity Plan (BCP),In Progress,Medium,10,Medium,Medium
Certificate of Acceptance (CoA),Completed,High,5,Low,Low
Portal Learning Management System (LMS),In Progress,Medium,22,High,Low
Enterprise Architecture (EA),Completed,Low,27,High,Low
Human Resource Management (HRM),In Progress,Medium,29,High,Medium
Management Plans,In Progress,Medium,21,High,Medium
User Authentication and Access Control,In Progress,Low,23,High,Medium
Data Services & Management,Completed,Medium,19,Medium,Low
Notification System,In Progress,Low,12,Medium,Low
User Authentication and Access Control,In Progress,Low,18,Medium,Low
Audit and Compliance,Completed,Medium,28,High,Low
Management Plans,To Do,Low,10,Medium,Medium
Notification System,Completed,Low,26,High,Low
Portal,Completed,Medium,9,Low,Low
Project Management Information System (PMIS),To Do,Medium,18,Medium,Medium
Reporting and Analytics,To Do,Medium,5,Low,Low
Audit and Compliance,Completed,High,22,High,Low
Payment Gateway Integration,Completed,Medium,20,High,Low
Change Management,Completed,High,3,Low,Low
Portal,To Do,High,20,High,Low
Data Services & Management,Completed,Medium,28,High,Low
User Authentication and Access Control,To Do,High,28,High,Low
Project Management Information System (PMIS),Completed,High,5,Low,Low
Audit and Compliance,To Do,High,14,Medium,Low
Office Renovation,Completed,High,30,High,Low
Certificate of Acceptance (CoA),Completed,Low,28,High,Low
Portal,Completed,Medium,17,Medium,Low
Portal,To Do,High,21,High,Medium
Transfer of Technology (TOT),To Do,Medium,30,High,Low
Inventory Management,Completed,High,28,High,Low
Notification System,To Do,High,15,Medium,Medium
Reporting and Analytics,To Do,High,11,Medium,High
Communication and Collaboration Tools,To Do,Low,10,Medium,Low
Communication and Collaboration Tools,To Do,Low,16,Medium,Medium
Data Lake & Data Warehouse Operation,In Progress,High,2,Low,High
Notification System,Completed,Medium,24,High,Low
Project Closure Report,In Progress,Low,30,High,Low
User Authentication and Access Control,Completed,High,6,Low,Low
Data Management and Storage,Completed,High,24,High,Low
Portal Learning Management System (LMS),In Progress,High,22,High,Low
Management Plans,Completed,Low,17,Medium,Low
Workflow Management,In Progress,Medium,15,Medium,Medium
Transfer of Knowledge (TOK),To Do,Low,15,Medium,Low
User Authentication and Access Control,Completed,High,9,Low,Low
DevOps,To Do,High,1,Low,High
Data Lake & Data Warehouse Operation,Completed,High,9,Low,Low
Project Closure Report,Completed,Medium,21,High,Low
Enterprise Architecture (EA),To Do,High,12,Medium,Low
Business Continuity Plan (BCP),Completed,Low,5,Low,Low
Enterprise Architecture (EA),Completed,Low,12,Medium,Low
Portal Learning Management System (LMS),In Progress,Medium,5,Low,Low
Payment Gateway Integration,Completed,High,18,Medium,Low
Data Lake & Data Warehouse Operation,To Do,High,16,Medium,High
Management Plans,In Progress,High,19,Medium,Low
Management Plans,In Progress,Medium,7,Low,High
Audit and Compliance,In Progress,High,15,Medium,Low
Workflow Management,Completed,Medium,13,Medium,Low
Project Closure Report,In Progress,Medium,23,High,Low
Reporting and Analytics,In Progress,Medium,24,High,High
Payment Gateway Integration,Completed,High,24,High,Low
Data Services & Management,In Progress,Low,21,High,Medium
Monitoring & Control Reports,To Do,Medium,17,Medium,Medium
Certificate of Acceptance (CoA),In Progress,High,19,Medium,High
Audit and Compliance,In Progress,Medium,17,Medium,Medium
Training Management,Completed,Low,5,Low,Low
Payment Gateway Integration,To Do,Low,3,Low,Medium
Portal Learning Management System (LMS),Completed,Medium,18,Medium,Low
Transfer of Knowledge (TOK),To Do,High,7,Low,High
Certificate of Acceptance (CoA),Completed,Low,15,Medium,Low
Payment Gateway Integration,To Do,Medium,7,Low,Medium
Office Renovation,To Do,Medium,8,Low,Low
Audit and Compliance,To Do,Medium,2,Low,Low
Business Continuity Plan (BCP),Completed,Low,11,Medium,Low
Office Renovation,Completed,Medium,10,Medium,Low
Management Plans,Completed,High,14,Medium,Low
Contract Documentation,Completed,Low,13,Medium,Low
Finalization and Integration,To Do,Low,16,Medium,Low
Project Management Information System (PMIS),In Progress,High,26,High,Low
Enterprise Architecture (EA),Completed,Medium,6,Low,Low
User Interface and User Experience (UI/UX),In Progress,High,10,Medium,Low
Reporting and Analytics,To Do,High,9,Low,High
Reporting and Analytics,Completed,Low,10,Medium,Low
Reporting and Analytics,In Progress,Medium,4,Low,Medium
Customer Relationship Management (CRM),Completed,Medium,29,High,Low
Workflow Management,Completed,High,3,Low,Low
Office Renovation,To Do,High,30,High,Low
Enterprise Architecture (EA),To Do,High,4,Low,High
Transfer of Technology (TOT),To Do,High,28,High,Low
Portal,In Progress,Low,6,Low,Low
Project Management Information System (PMIS),To Do,Medium,23,High,Low
Finalization and Integration,Completed,High,24,High,Low
Training Management,Completed,Medium,23,High,Low
Enterprise Architecture (EA),Completed,Low,15,Medium,Low
Certificate of Acceptance (CoA),Completed,Medium,7,Low,Low
Notification System,To Do,High,13,Medium,Medium
Data Management and Storage,Completed,Low,28,High,Low
Enterprise Architecture (EA),To Do,High,22,High,High
Portal Learning Management System (LMS),Completed,Medium,23,High,Low
Audit and Compliance,To Do,High,30,High,Low
Transfer of Knowledge (TOK),Completed,High,2,Low,Low
Management Plans,In Progress,High,3,Low,High
Enterprise Architecture (EA),To Do,Medium,15,Medium,Medium
Project Closure Report,To Do,Low,10,Medium,Low
DevOps,To Do,High,28,High,Medium
Change Management,To Do,Medium,26,High,Low
Finalization and Integration,Completed,High,1,Low,Low
Certificate of Acceptance (CoA),Completed,Medium,10,Medium,Low
Reporting and Analytics,To Do,Low,28,High,High
Enterprise Architecture (EA),To Do,Medium,12,Medium,Medium
Transfer of Knowledge (TOK),In Progress,Medium,1,Low,Low
Certificate of Acceptance (CoA),Completed,Medium,11,Medium,Low
Data Services & Management,In Progress,Low,21,High,Low
DevOps,In Progress,Low,7,Low,Medium
Reporting and Analytics,Completed,High,13,Medium,Low
User Authentication and Access Control,Completed,Low,8,Low,Low
Training Management,In Progress,Medium,29,High,Low
Certificate of Acceptance (CoA),In Progress,High,12,Medium,High
Contract Documentation,Completed,Medium,21,High,Low
Transfer of Technology (TOT),Completed,Medium,6,Low,Low
Customer Relationship Management (CRM),To Do,High,15,Medium,Low
Human Resource Management (HRM),To Do,Medium,30,High,Medium
Portal Learning Management System (LMS),In Progress,Low,12,Medium,Low
Certificate of Acceptance (CoA),Completed,High,7,Low,Low
Project Management,To Do,Low,21,High,Medium
Data Management and Storage,Completed,Medium,20,High,Low
Project Closure Report,Completed,Medium,25,High,Low
Workflow Management,To Do,Medium,14,Medium,Medium
User Authentication and Access Control,Completed,Medium,4,Low,Low
Management Plans,Completed,High,2,Low,Low
Management Plans,To Do,High,9,Low,High
Data Services & Management,To Do,High,19,Medium,Medium
Data Management and Storage,To Do,High,9,Low,High
Training Management,Completed,Low,4,Low,Low
Workflow Management,In Progress,Low,22,High,Low
Project Management,To Do,Low,27,High,Low
Project Management Information System (PMIS),To Do,High,6,Low,High
Customer Relationship Management (CRM),To Do,High,1,Low,High
Data Services & Management,Completed,High,14,Medium,Low
Business Continuity Plan (BCP),In Progress,Low,13,Medium,Low
Project Management,Completed,High,7,Low,Low
Customer Relationship Management (CRM),To Do,High,28,High,Low
DevOps,Completed,Low,18,Medium,Low
Project Management,In Progress,Medium,8,Low,Medium
Change Management,In Progress,Low,9,Low,Low
Data Management and Storage,Completed,Low,5,Low,Low
User Interface and User Experience (UI/UX),Completed,Medium,9,Low,Low
Workflow Management,Completed,High,29,High,Low
Data Management and Storage,To Do,High,11,Medium,Medium
Transfer of Knowledge (TOK),In Progress,High,21,High,High
Portal,In Progress,Medium,9,Low,Low
Portal,In Progress,Low,22,High,Medium
Change Management,To Do,Low,1,Low,Low
Contract Documentation,Completed,Low,13,Medium,Low
Human Resource Management (HRM),In Progress,Low,22,High,Low
DevOps,To Do,High,14,Medium,High
Transfer of Technology (TOT),Completed,High,25,High,Low
Business Continuity Plan (BCP),To Do,Low,25,High,Low
Communication and Collaboration Tools,To Do,Low,24,High,Medium
Contract Documentation,To Do,High,4,Low,High
Project Closure Report,Completed,Low,29,High,Low
Notification System,To Do,High,9,Low,High
Office Renovation,Completed,Low,27,High,Low
Data Services & Management,Completed,Low,11,Medium,Low
DevOps,In Progress,High,7,Low,High
Portal,To Do,Medium,26,High,High
Project Management Information System (PMIS),To Do,High,21,High,Low
Inventory Management,To Do,Medium,24,High,Medium
Portal,To Do,High,5,Low,High
Training Management,To Do,Medium,2,Low,Low
Contract Documentation,In Progress,High,21,High,Low
Project Management,In Progress,Medium,16,Medium,Medium
Communication and Collaboration Tools,Completed,High,2,Low,Low
Business Continuity Plan (BCP),To Do,Low,12,Medium,Low
Certificate of Acceptance (CoA),Completed,Medium,21,High,Low
Enterprise Architecture (EA),In Progress,Low,30,High,Low
Portal Learning Management System (LMS),To Do,Medium,13,Medium,Medium
Customer Relationship Management (CRM),In Progress,Low,1,Low,Medium
DevOps,In Progress,Low,7,Low,Low
Workflow Management,To Do,Medium,4,Low,High
DevOps,To Do,High,13,Medium,High
Transfer of Knowledge (TOK),Completed,High,29,High,Low
Portal,In Progress,Low,7,Low,Low
Finalization and Integration,To Do,Medium,18,Medium,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,12,Medium,Medium
Payment Gateway Integration,Completed,Medium,29,High,Low
Notification System,In Progress,Medium,3,Low,High
Human Resource Management (HRM),In Progress,Low,28,High,Medium
User Interface and User Experience (UI/UX),To Do,Medium,6,Low,Medium
Inventory Management,In Progress,Medium,9,Low,High
Data Management and Storage,In Progress,High,29,High,Medium
Enterprise Architecture (EA),In Progress,Medium,11,Medium,Medium
Portal,In Progress,High,29,High,High
Human Resource Management (HRM),In Progress,Low,20,High,Low
Customer Relationship Management (CRM),In Progress,Low,1,Low,Medium
Enterprise Architecture (EA),In Progress,Low,12,Medium,High
Contract Documentation,In Progress,High,30,High,Low
Transfer of Technology (TOT),In Progress,High,16,Medium,Low
Enterprise Architecture (EA),Completed,Medium,17,Medium,Low
Portal,In Progress,High,29,High,Low
Communication and Collaboration Tools,In Progress,High,11,Medium,Low
Reporting and Analytics,Completed,Low,14,Medium,Low
Enterprise Architecture (EA),In Progress,Low,4,Low,Medium
Business Continuity Plan (BCP),Completed,High,27,High,Low
User Interface and User Experience (UI/UX),In Progress,Medium,2,Low,High
Transfer of Knowledge (TOK),In Progress,Medium,7,Low,High
Certificate of Acceptance (CoA),To Do,High,25,High,Low
Portal,In Progress,Medium,14,Medium,Medium
Management Plans,In Progress,Medium,11,Medium,Medium
Business Continuity Plan (BCP),To Do,High,24,High,Low
Monitoring & Control Reports,Completed,High,21,High,Low
Enterprise Architecture (EA),In Progress,Medium,14,Medium,Medium
Project Management,In Progress,Medium,20,High,Low
Notification System,To Do,High,17,Medium,Low
Office Renovation,In Progress,Low,2,Low,Low
Human Resource Management (HRM),Completed,Low,25,High,Low
Customer Relationship Management (CRM),To Do,Medium,1,Low,Low
Project Management,In Progress,Medium,30,High,Medium
Business Continuity Plan (BCP),In Progress,Medium,16,Medium,Medium
Data Services & Management,To Do,High,19,Medium,Medium
User Authentication and Access Control,In Progress,Medium,26,High,High
Monitoring & Control Reports,To Do,High,30,High,High
User Interface and User Experience (UI/UX),Completed,High,3,Low,Low
Communication and Collaboration Tools,To Do,High,12,Medium,Medium
Business Continuity Plan (BCP),In Progress,Medium,13,Medium,Medium
DevOps,In Progress,Low,22,High,Medium
Project Management,Completed,Low,26,High,Low
Training Management,Completed,High,28,High,Low
Contract Documentation,In Progress,High,1,Low,High
Customer Relationship Management (CRM),In Progress,Medium,25,High,Low
Transfer of Technology (TOT),In Progress,Low,17,Medium,Low
Communication and Collaboration Tools,Completed,Low,12,Medium,Low
Customer Relationship Management (CRM),To Do,Low,17,Medium,High
Management Plans,In Progress,High,2,Low,High
Transfer of Technology (TOT),In Progress,High,14,Medium,Low
Audit and Compliance,Completed,Medium,26,High,Low
Enterprise Architecture (EA),To Do,Medium,15,Medium,Medium
Transfer of Knowledge (TOK),To Do,Medium,3,Low,Low
Finalization and Integration,To Do,Medium,20,High,Medium
Data Services & Management,In Progress,High,17,Medium,High
Project Closure Report,Completed,Medium,17,Medium,Low
User Authentication and Access Control,Completed,Low,29,High,Low
Project Management Information System (PMIS),In Progress,Low,3,Low,Low
Data Services & Management,In Progress,Low,7,Low,High
Project Management Information System (PMIS),Completed,Medium,5,Low,Low
Inventory Management,In Progress,High,11,Medium,Medium
Transfer of Technology (TOT),In Progress,Medium,11,Medium,Medium
Workflow Management,In Progress,High,30,High,Medium
Audit and Compliance,Completed,Low,20,High,Low
User Authentication and Access Control,Completed,High,28,High,Low
Business Continuity Plan (BCP),Completed,Low,6,Low,Low
Change Management,Completed,High,28,High,Low
Data Lake & Data Warehouse Operation,To Do,Medium,2,Low,Low
Change Management,In Progress,Medium,1,Low,Low
Data Lake & Data Warehouse Operation,Completed,High,9,Low,Low
Certificate of Acceptance (CoA),Completed,Medium,5,Low,Low
Audit and Compliance,In Progress,High,2,Low,High
Business Continuity Plan (BCP),In Progress,Medium,12,Medium,Medium
Training Management,To Do,High,8,Low,High
Portal Learning Management System (LMS),To Do,Low,9,Low,Low
Training Management,To Do,Medium,4,Low,Low
Transfer of Technology (TOT),To Do,Medium,5,Low,Low
Inventory Management,To Do,Low,20,High,Medium
Finalization and Integration,To Do,Medium,9,Low,High
User Authentication and Access Control,In Progress,Medium,13,Medium,Medium
Finalization and Integration,To Do,Medium,6,Low,High
Change Management,To Do,Medium,8,Low,Low
